D,p,X,Y,coefficients
21, 11, x^2 + 11*x + 536, x^2 + 208*x + 12839, [ 0, 4 ]
24, 11, x^2 + 1446/361*x + 1697/361, x^2 - 4206/6859*x + 52659/6859, [ 0, 4 ]
28, 11, x^2 - 585/64*x + 2293/64, x^2 + 4549/512*x + 110623/512, [ 0, -4 ]
57, 11, x - 79586319/93302464, x^2 + x + 23259756975541757236952465/812230585246250710073344, [ 0, 4 ]
76, 11, x - 79586319/93302464, x^2 + x + 23259756975541757236952465/812230585246250710073344, [ -4, 0 ]
