D,p, Pol
21, 13, 13*x^2 - x + 13
24, 13, 13*x^2 - x + 13
28, 13, 13*x^2 - 10*x + 13
33, 13, 13*x^2 - x + 13
44, 13, 13*x^2 - 10*x + 13
57, 13, 13*x^2 - x + 13
60, 13, 4826809*x^4 + 17830670*x^3 + 26104443*x^2 + 17830670*x + 4826809
76, 13, 13*x^2 - 10*x + 13
93, 13, 2197*x^2 + 506*x + 2197
124, 13, 2197*x^2 - 4070*x + 2197
136, 13, 169*x^4 - 508*x^3 + 694*x^2 - 508*x + 169
141, 13, 371293*x^2 - 141961*x + 371293
161, 13, 2197*x^2 + 1082*x + 2197
177, 13, 2197*x^2 + 506*x + 2197
184, 13, 2197*x^2 + 1082*x + 2197
188, 13, 371293*x^2 + 291336*x + 371293
201, 13, 13*x^2 - x + 13
213, 13, 62748517*x^2 + 33388991*x + 62748517
236, 13, 2197*x^2 - 4070*x + 2197
249, 13, 2197*x^2 + 506*x + 2197
253, 13, 2197*x^2 + 1082*x + 2197
268, 13, 13*x^2 - 10*x + 13
280, 13, 169*x^4 - 114*x^3 + 59*x^2 - 114*x + 169
284, 13, 62748517*x^2 + 46322630*x + 62748517
301, 13, 13*x^2 - 17*x + 13
305, 13, 169*x^4 + 225*x^3 + 337*x^2 + 225*x + 169
332, 13, 2197*x^2 - 4070*x + 2197
344, 13, 13*x^2 - 17*x + 13
345, 13, 112455406951957393129*x^4 + 11747418581693703766*x^3 - 16853755082908573101*x^2 + 11747418581693703766*x + 112455406951957393129
357, 13, 137858491849*x^4 + 70774656550*x^3 - 7011955677*x^2 + 70774656550*x + 137858491849
385, 13, 28561*x^4 - 40014*x^3 + 30131*x^2 - 40014*x + 28561
408, 13, 4826809*x^4 - 12923950*x^3 + 18242043*x^2 - 12923950*x + 4826809
437, 13, 2197*x^2 + 1082*x + 2197
440, 13, 28561*x^4 - 12636*x^3 - 24794*x^2 - 12636*x + 28561
444, 13, 0
453, 13, 62748517*x^2 + 33388991*x + 62748517
460, 13, 23298085122481*x^4 + 31496391619420*x^3 + 39149169555174*x^2 + 31496391619420*x + 23298085122481
473, 13, 371293*x^6 + 776048*x^5 + 35984*x^4 - 741025*x^3 + 35984*x^2 + 776048*x + 371293
476, 13, 137858491849*x^4 + 67998405072*x^3 - 136363825198*x^2 + 67998405072*x + 137858491849
489, 13, 13*x^2 - x + 13
492, 13, 665416609183179841*x^4 - 2349559047469661170*x^3 + 3370189313691943107*x^2 - 2349559047469661170*x + 665416609183179841
501, 13, 1792160394037*x^2 + 1471948630151*x + 1792160394037
505, 13, 815730721*x^8 - 5053583340*x^7 + 14879614126*x^6 - 26903413385*x^5 + 32533743881*x^4 - 26903413385*x^3 + 14879614126*x^2 - 5053583340*x + 815730721
552, 13, 112455406951957393129*x^4 - 304529235540829089934*x^3 + 429644727055390799499*x^2 - 304529235540829089934*x + 112455406951957393129
553, 13, 371293*x^2 + 731210*x + 371293
561, 13, 4826809*x^4 + 498550*x^3 - 922557*x^2 + 498550*x + 4826809
604, 13, 62748517*x^2 + 46322630*x + 62748517
609, 13, 112455406951957393129*x^4 + 347141196630288638734*x^3 + 491744899221812341899*x^2 + 347141196630288638734*x + 112455406951957393129
616, 13, 28561*x^4 + 72540*x^3 + 93734*x^2 + 72540*x + 28561
632, 13, 371293*x^2 + 731210*x + 371293
645, 13, 3937376385699289*x^4 + 3534126734050406*x^3 + 4443673329407859*x^2 + 3534126734050406*x + 3937376385699289
652, 13, 13*x^2 - 10*x + 13
665, 13, 815730721*x^4 - 2196600146*x^3 + 2880091491*x^2 - 2196600146*x + 815730721
668, 13, 1792160394037*x^2 - 1295098551624*x + 1792160394037
669, 13, 62748517*x^2 + 33388991*x + 62748517
681, 13, 371293*x^2 - 141961*x + 371293
696, 13, 112455406951957393129*x^4 - 13391203430841994966*x^3 + 45246417083512969299*x^2 - 13391203430841994966*x + 112455406951957393129
713, 13, 10604499373*x^2 + 14401098646*x + 10604499373
717, 13, 51185893014090757*x^2 + 55850658624240986*x + 51185893014090757
721, 13, 371293*x^2 + 740938*x + 371293
748, 13, 815730721*x^4 - 394449380*x^3 - 826434426*x^2 - 394449380*x + 815730721
749, 13, 2197*x^2 + 4273*x + 2197
760, 13, 815730721*x^4 - 693663204*x^3 + 1311378566*x^2 - 693663204*x + 815730721
812, 13, 23298085122481*x^4 - 10754121312480*x^3 + 2851310014562*x^2 - 10754121312480*x + 23298085122481
813, 13, 1792160394037*x^2 + 1471948630151*x + 1792160394037
817, 13, 302875106592253*x^10 - 1226780694234784*x^9 + 2524596373632892*x^8 - 3241424962208251*x^7 + 3094472579467074*x^6 - 2822219265781367*x^5 + 3094472579467074*x^4 - 3241424962208251*x^3 + 2524596373632892*x^2 - 1226780694234784*x + 302875106592253
824, 13, 371293*x^2 + 740938*x + 371293
840, 13, 0
856, 13, 2197*x^2 + 4273*x + 2197
860, 13, 3937376385699289*x^4 + 2121981902601288*x^3 + 6059964960211127*x^2 + 2121981902601288*x + 3937376385699289
869, 13, 371293*x^2 + 731210*x + 371293
876, 13, 0
889, 13, 371293*x^2 - 738742*x + 371293
892, 13, 1461920290375446110677*x^6 - 3171414591452020554290*x^5 + 2704915147614772002235*x^4 - 1924719470449418361980*x^3 + 2704915147614772002235*x^2 - 3171414591452020554290*x + 1461920290375446110677
905, 13, 815730721*x^8 - 1243745867*x^7 + 2124262231*x^6 - 2631720992*x^5 + 3118357939*x^4 - 2631720992*x^3 + 2124262231*x^2 - 1243745867*x + 815730721
908, 13, 371293*x^2 + 291336*x + 371293
917, 13, 371293*x^2 + 116905*x + 371293
921, 13, 2197*x^2 + 506*x + 2197
956, 13, 51185893014090757*x^2 + 36189236900246650*x + 51185893014090757
957, 13, 112455406951957393129*x^4 - 66560296566848515366*x^3 + 61020360939834420099*x^2 - 66560296566848515366*x + 112455406951957393129
969, 13, 4826809*x^4 - 12923950*x^3 + 18242043*x^2 - 12923950*x + 4826809
973, 13, 2197*x^2 - 4255*x + 2197
993, 13, 51185893014090757*x^6 + 14775792045508299*x^5 + 81257077474802502*x^4 - 8612135558133689*x^3 + 81257077474802502*x^2 + 14775792045508299*x + 51185893014090757
1016, 13, 10604499373*x^6 - 50373516674*x^5 + 110013382115*x^4 - 140427138524*x^3 + 110013382115*x^2 - 50373516674*x + 10604499373
1020, 13, 0
1032, 13, 137858491849*x^4 - 88912161754*x^3 + 136705168419*x^2 - 88912161754*x + 137858491849
1045, 13, 815730721*x^8 - 1557009506*x^7 + 908583377*x^6 + 1537560830*x^5 - 2782729244*x^4 + 1537560830*x^3 + 908583377*x^2 - 1557009506*x + 815730721
1048, 13, 371293*x^2 + 116905*x + 371293
1064, 13, 4826809*x^4 + 17401540*x^3 + 25232406*x^2 + 17401540*x + 4826809
1068, 13, 0
1077, 13, 1461920290375446110677*x^2 + 2861211170816759241913*x + 1461920290375446110677
1081, 13, 51185893014090757*x^2 + 96954465195037082*x + 51185893014090757
1084, 13, 1792160394037*x^2 - 1295098551624*x + 1792160394037
1085, 13, 4826809*x^4 + 5697796*x^3 + 2260374*x^2 + 5697796*x + 4826809
1112, 13, 2197*x^2 - 4255*x + 2197
1113, 13, 0
1133, 13, 371293*x^2 + 740938*x + 371293
1137, 13, 2197*x^2 + 506*x + 2197
1149, 13, 8650415919381337933*x^2 - 10525338489559169641*x + 8650415919381337933
1164, 13, 0
1177, 13, 2197*x^2 + 4273*x + 2197
1185, 13, 0
1228, 13, 2197*x^2 - 4070*x + 2197
1240, 13, 4826809*x^4 + 5804604*x^3 + 2551574*x^2 + 5804604*x + 4826809
