D,p, Pol
44, 3, 3*x^2 + 5*x + 3
56, 3, 3*x^2 + 2*x + 3
77, 3, 3*x^2 + 5*x + 3
92, 3, 27*x^2 + 38*x + 27
140, 3, 81*x^4 + 6*x^3 - 149*x^2 + 6*x + 81
152, 3, 3*x^2 + 2*x + 3
161, 3, 27*x^2 + 38*x + 27
188, 3, 243*x^2 - 298*x + 243
209, 3, 3*x^2 + 5*x + 3
221, 3, 9*x^4 - 2*x^3 - 5*x^2 - 2*x + 9
236, 3, 27*x^2 + 5*x + 27
248, 3, 27*x^2 - 46*x + 27
284, 3, 2187*x^2 - 4090*x + 2187
305, 3, 9*x^4 + 5*x^3 + 17*x^2 + 5*x + 9
329, 3, 243*x^2 - 298*x + 243
332, 3, 27*x^2 + 29*x + 27
341, 3, 27*x^2 - 10*x + 27
344, 3, 3*x^2 + 2*x + 3
377, 3, 9*x^4 - 5*x^3 + x^2 - 5*x + 9
380, 3, 6561*x^4 + 2556*x^3 + 7366*x^2 + 2556*x + 6561
413, 3, 27*x^2 + 5*x + 27
428, 3, 27*x^2 + 53*x + 27
437, 3, 27*x^2 + 38*x + 27
440, 3, 81*x^4 - 210*x^3 + 259*x^2 - 210*x + 81
473, 3, 243*x^6 + 360*x^5 - 240*x^4 - 725*x^3 - 240*x^2 + 360*x + 243
476, 3, 59049*x^4 - 60348*x^3 + 7222*x^2 - 60348*x + 59049
497, 3, 2187*x^2 - 4090*x + 2187
524, 3, 243*x^2 - 355*x + 243
536, 3, 3*x^2 + 2*x + 3
545, 3, 9*x^4 + 19*x^3 + 25*x^2 + 19*x + 9
572, 3, 59049*x^4 + 16254*x^3 - 74981*x^2 + 16254*x + 59049
581, 3, 27*x^2 + 29*x + 27
584, 3, 9*x^4 + x^3 + 16*x^2 + x + 9
620, 3, 531441*x^4 - 503334*x^3 + 274411*x^2 - 503334*x + 531441
632, 3, 243*x^2 + 482*x + 243
665, 3, 6561*x^4 - 3834*x^3 + 7771*x^2 - 3834*x + 6561
668, 3, 177147*x^2 - 922*x + 177147
689, 3, 6561*x^8 - 11340*x^7 - 882*x^6 + 4333*x^5 + 2665*x^4 + 4333*x^3 - 882*x^2 - 11340*x + 6561
713, 3, 19683*x^2 - 28234*x + 19683
716, 3, 243*x^2 + 230*x + 243
728, 3, 729*x^4 - 900*x^3 + 1366*x^2 - 900*x + 729
737, 3, 3*x^2 + 5*x + 3
749, 3, 27*x^2 + 53*x + 27
764, 3, 1594323*x^2 - 2784490*x + 1594323
776, 3, 729*x^4 - 2012*x^3 + 2710*x^2 - 2012*x + 729
812, 3, 531441*x^4 - 1284822*x^3 + 1810363*x^2 - 1284822*x + 531441
824, 3, 243*x^2 + 482*x + 243
860, 3, 4782969*x^4 + 1970244*x^3 + 7105174*x^2 + 1970244*x + 4782969
869, 3, 243*x^2 - 475*x + 243
893, 3, 243*x^2 - 298*x + 243
905, 3, 6561*x^8 - 25839*x^7 + 31311*x^6 + 2888*x^5 - 29837*x^4 + 2888*x^3 + 31311*x^2 - 25839*x + 6561
908, 3, 243*x^2 + 422*x + 243
917, 3, 243*x^2 - 355*x + 243
920, 3, 729*x^4 - 684*x^3 + 310*x^2 - 684*x + 729
956, 3, 14348907*x^2 + 20563910*x + 14348907
989, 3, 27*x^2 + 38*x + 27
1001, 3, 59049*x^4 - 34830*x^3 + 53323*x^2 - 34830*x + 59049
1004, 3, 2187*x^2 - 3370*x + 2187
1016, 3, 19683*x^6 + 33786*x^5 - 6099*x^4 - 40916*x^3 - 6099*x^2 + 33786*x + 19683
1052, 3, 1594323*x^2 - 3061354*x + 1594323
1064, 3, 729*x^4 - 660*x^3 - 74*x^2 - 660*x + 729
1085, 3, 729*x^4 + 1014*x^3 + 739*x^2 + 1014*x + 729
1112, 3, 27*x^2 - 46*x + 27
1121, 3, 27*x^2 + 5*x + 27
1133, 3, 243*x^2 - 475*x + 243
1148, 3, 43046721*x^4 + 74977188*x^3 + 83503558*x^2 + 74977188*x + 43046721
1169, 3, 177147*x^2 - 922*x + 177147
1196, 3, 531441*x^4 - 17262*x^3 + 457603*x^2 - 17262*x + 531441
1205, 3, 729*x^4 - 1055*x^3 + 1552*x^2 - 1055*x + 729
1208, 3, 2187*x^2 - 3022*x + 2187
1244, 3, 1162261467*x^2 - 2252270170*x + 1162261467
1253, 3, 243*x^2 + 230*x + 243
1265, 3, 531441*x^4 - 17010*x^3 + 413539*x^2 - 17010*x + 531441
1292, 3, 387420489*x^8 - 301972212*x^7 + 350955594*x^6 + 535678608*x^5 - 360363749*x^4 + 535678608*x^3 + 350955594*x^2 - 301972212*x + 387420489
1304, 3, 243*x^6 - 1152*x^5 + 2496*x^4 - 3170*x^3 + 2496*x^2 - 1152*x + 243
1337, 3, 1594323*x^2 - 2784490*x + 1594323
1340, 3, 387420489*x^4 + 166588164*x^3 + 694834294*x^2 + 166588164*x + 387420489
1349, 3, 2187*x^2 - 4090*x + 2187
1388, 3, 243*x^2 - 139*x + 243
1397, 3, 243*x^2 - 475*x + 243
1436, 3, 1162261467*x^6 + 3695695218*x^5 + 5418273813*x^4 + 5703615740*x^3 + 5418273813*x^2 + 3695695218*x + 1162261467
1457, 3, 14348907*x^2 + 26326214*x + 14348907
1469, 3, 729*x^4 + 622*x^3 - 101*x^2 + 622*x + 729
