D,p, Pol
1133, 5, 3125*x^2 - 3001*x + 3125
1137, 5, 125*x^2 + 129*x + 125
1148, 5, 152587890625*x^4 + 558166910820*x^3 + 812331513926*x^2 + 558166910820*x + 152587890625
1173, 5, 3814697265625*x^4 + 377779847900*x^3 - 1343191435626*x^2 + 377779847900*x + 3814697265625
1177, 5, 125*x^2 + 74*x + 125
1208, 5, 78125*x^2 - 136086*x + 78125
1212, 5, 931322574615478515625*x^4 + 734736750204349510020*x^3 + 1170080604609712671926*x^2 + 734736750204349510020*x + 931322574615478515625
1228, 5, 125*x^2 + 234*x + 125
1253, 5, 3125*x^2 - 6071*x + 3125
1257, 5, 186264514923095703125*x^6 - 271751859691201171875*x^5 + 236993328480881493750*x^4 - 167922542235952122799*x^3 + 236993328480881493750*x^2 - 271751859691201171875*x + 186264514923095703125
1272, 5, 931322574615478515625*x^4 + 401110740633789062500*x^3 + 92733768924913078134*x^2 + 401110740633789062500*x + 931322574615478515625
1273, 5, 5*x^2 + 9*x + 5
1288, 5, 244140625*x^8 - 679015000*x^7 + 810316700*x^6 - 835127144*x^5 + 919376038*x^4 - 835127144*x^3 + 810316700*x^2 - 679015000*x + 244140625
1292, 5, 3814697265625*x^8 - 10463190937500*x^7 + 13077387146650*x^6 - 11639153605680*x^5 + 11021856922491*x^4 - 11639153605680*x^3 + 13077387146650*x^2 - 10463190937500*x + 3814697265625
1293, 5, 476837158203125*x^2 + 953651197145594*x + 476837158203125
1308, 5, 14551915228366851806640625*x^4 + 3454230810257999023437500*x^3 - 10556381403307310448693594*x^2 + 3454230810257999023437500*x + 14551915228366851806640625
1317, 5, 30517578125*x^2 - 22212096426*x + 30517578125
1333, 5, 125*x^2 - 246*x + 125
1337, 5, 1220703125*x^2 - 487589446*x + 1220703125
1353, 5, 15625*x^4 + 14874*x^3 + 14627*x^2 + 14874*x + 15625
1357, 5, 1953125*x^2 + 1985254*x + 1953125
1388, 5, 3125*x^2 + 474*x + 3125
1393, 5, 1953125*x^10 + 10622500*x^9 + 28764750*x^8 + 53085950*x^7 + 74662665*x^6 + 83343981*x^5 + 74662665*x^4 + 53085950*x^3 + 28764750*x^2 + 10622500*x + 1953125
1397, 5, 3125*x^2 - 3001*x + 3125
1432, 5, 3125*x^2 - 6071*x + 3125
1437, 5, 298023223876953125*x^2 - 593213538562430426*x + 298023223876953125
1457, 5, 30517578125*x^2 - 38148912726*x + 30517578125
1468, 5, 1953125*x^2 + 1844154*x + 1953125
1473, 5, 1953125*x^2 - 2700646*x + 1953125
1477, 5, 125*x^2 + 39*x + 125
1497, 5, 125*x^2 + 249*x + 125
1513, 5, 6103515625*x^4 + 15677667044*x^3 + 20886596086*x^2 + 15677667044*x + 6103515625
1517, 5, 15625*x^4 - 36039*x^3 + 48224*x^2 - 36039*x + 15625
1528, 5, 1220703125*x^2 - 487589446*x + 1220703125
1532, 5, 762939453125*x^2 - 85489023352*x + 762939453125
1533, 5, 6103515625*x^4 - 7869214020*x^3 + 14337415094*x^2 - 7869214020*x + 6103515625
1537, 5, 25*x^4 - x^3 + x^2 - x + 25
1577, 5, 125*x^2 + 54*x + 125
1592, 5, 1953125*x^2 - 1228506*x + 1953125
1608, 5, 6103515625*x^4 - 3472077500*x^3 - 2799937866*x^2 - 3472077500*x + 6103515625
1612, 5, 244140625*x^4 - 548737500*x^3 + 719780006*x^2 - 548737500*x + 244140625
1628, 5, 152587890625*x^4 + 252400531250*x^3 + 389685530931*x^2 + 252400531250*x + 152587890625
1633, 5, 476837158203125*x^2 + 891875426652794*x + 476837158203125
1653, 5, 1490116119384765625*x^4 + 3573440939391502500*x^3 + 5022248118618994646*x^2 + 3573440939391502500*x + 1490116119384765625
1672, 5, 15625*x^4 - 16650*x^3 + 24851*x^2 - 16650*x + 15625
1673, 5, 30517578125*x^2 - 57861538346*x + 30517578125
1677, 5, 1490116119384765625*x^8 - 1007388409626875000*x^7 + 984715093723047100*x^6 + 2128252927571007160*x^5 - 2027778545906921066*x^4 + 2128252927571007160*x^3 + 984715093723047100*x^2 - 1007388409626875000*x + 1490116119384765625
1688, 5, 125*x^2 + 39*x + 125
1708, 5, 37252902984619140625*x^12 - 21818700195312500000*x^11 + 34236219786412500000*x^10 - 35007845452153150000*x^9 - 24567617220617394400*x^8 + 51630906764218330080*x^7 - 40467426977841382814*x^6 + 51630906764218330080*x^5 - 24567617220617394400*x^4 - 35007845452153150000*x^3 + 34236219786412500000*x^2 - 21818700195312500000*x + 37252902984619140625
1713, 5, 3125*x^2 - 2886*x + 3125
1717, 5, 15625*x^4 - 6646*x^3 + 16467*x^2 - 6646*x + 15625
1752, 5, 363797880709171295166015625*x^8 + 512407573569815751953125000*x^7 + 787638666749862812797311100*x^6 + 786487206351849429089707960*x^5 + 1071024728588975225809169014*x^4 + 786487206351849429089707960*x^3 + 787638666749862812797311100*x^2 + 512407573569815751953125000*x + 363797880709171295166015625
1757, 5, 78125*x^2 - 84961*x + 78125
1772, 5, 1953125*x^6 - 4497600*x^5 + 7869120*x^4 - 8351034*x^3 + 7869120*x^2 - 4497600*x + 1953125
1788, 5, 227373675443232059478759765625*x^4 + 528425332375356714537756562500*x^3 + 610487234646652340298574785686*x^2 + 528425332375356714537756562500*x + 227373675443232059478759765625
1793, 5, 5*x^2 - x + 5
1797, 5, 298023223876953125*x^2 + 192175045922923174*x + 298023223876953125
1817, 5, 30517578125*x^2 + 22121281494*x + 30517578125
1833, 5, 867361737988403547205962240695953369140625*x^4 - 1812731533807144798620916604995727539062500*x^3 + 2341243102776507597165179787562910748785574*x^2 - 1812731533807144798620916604995727539062500*x + 867361737988403547205962240695953369140625
1837, 5, 48828125*x^2 + 87113399*x + 48828125
1848, 5, 14551915228366851806640625*x^8 + 73164164471407470703125000*x^7 + 173550917451227814349937500*x^6 + 266250449562724845450156600*x^5 + 302625545780146127714995686*x^4 + 266250449562724845450156600*x^3 + 173550917451227814349937500*x^2 + 73164164471407470703125000*x + 14551915228366851806640625
1852, 5, 78125*x^2 - 152886*x + 78125
1857, 5, 3125*x^2 - 5631*x + 3125
1868, 5, 78125*x^2 - 152886*x + 78125
1893, 5, 1220703125*x^2 + 1710849594*x + 1220703125
1897, 5, 30517578125*x^10 + 65032812500*x^9 + 63089793750*x^8 + 35341481350*x^7 - 15221037255*x^6 - 46979205771*x^5 - 15221037255*x^4 + 35341481350*x^3 + 63089793750*x^2 + 65032812500*x + 30517578125
1912, 5, 30517578125*x^2 - 57861538346*x + 30517578125
1928, 5, 9765625*x^4 - 29024836*x^3 + 40011414*x^2 - 29024836*x + 9765625
1932, 5, 0
1948, 5, 78125*x^2 - 152886*x + 78125
1957, 5, 1953125*x^6 + 8727400*x^5 + 18441480*x^4 + 23224666*x^3 + 18441480*x^2 + 8727400*x + 1953125
1977, 5, 48828125*x^2 - 60952586*x + 48828125
1992, 5, 3814697265625*x^4 + 14029218197500*x^3 + 20437917764694*x^2 + 14029218197500*x + 3814697265625
2008, 5, 78125*x^2 - 84961*x + 78125
2012, 5, 476837158203125*x^2 - 774150816151206*x + 476837158203125
2013, 5, 931322574615478515625*x^4 + 905361725320610130500*x^3 + 314663307495401375286*x^2 + 905361725320610130500*x + 931322574615478515625
2033, 5, 125*x^2 + 54*x + 125
2037, 5, 3814697265625*x^4 - 7536370405500*x^3 + 10971838030934*x^2 - 7536370405500*x + 3814697265625
2072, 5, 9765625*x^4 - 9324250*x^3 + 16034019*x^2 - 9324250*x + 9765625
2073, 5, 3125*x^2 - 4806*x + 3125
2077, 5, 125*x^2 - 246*x + 125
2092, 5, 3125*x^2 + 474*x + 3125
2093, 5, 390625*x^4 - 606870*x^3 + 574619*x^2 - 606870*x + 390625
2108, 5, 59604644775390625*x^4 + 84881223319990500*x^3 + 69513966794641286*x^2 + 84881223319990500*x + 59604644775390625
2157, 5, 4656612873077392578125*x^2 + 7365598678393295140054*x + 4656612873077392578125
2168, 5, 48828125*x^2 - 44395446*x + 48828125
2172, 5, 14551915228366851806640625*x^4 - 13679718633029657326562500*x^3 - 757628928658872948693594*x^2 - 13679718633029657326562500*x + 14551915228366851806640625
2177, 5, 19073486328125*x^6 - 31068349609375*x^5 + 52024990028125*x^4 - 52678771071199*x^3 + 52024990028125*x^2 - 31068349609375*x + 19073486328125
2188, 5, 125*x^2 + 234*x + 125
2193, 5, 244140625*x^4 + 545613250*x^3 + 604465539*x^2 + 545613250*x + 244140625
2217, 5, 3125*x^2 + 5574*x + 3125
2233, 5, 9765625*x^12 - 20387500*x^11 + 23773750*x^10 - 39440625*x^9 + 61596625*x^8 - 64673735*x^7 + 58862041*x^6 - 64673735*x^5 + 61596625*x^4 - 39440625*x^3 + 23773750*x^2 - 20387500*x + 9765625
2248, 5, 25*x^4 + 41*x^3 + 64*x^2 + 41*x + 25
2252, 5, 1953125*x^2 + 1844154*x + 1953125
2253, 5, 30517578125*x^2 - 22775013846*x + 30517578125
2317, 5, 125*x^2 - 81*x + 125
2328, 5, 37252902984619140625*x^8 + 210861568691803125000*x^7 + 587298582752946977500*x^6 + 1027713714234793471800*x^5 + 1229966245405552936614*x^4 + 1027713714234793471800*x^3 + 587298582752946977500*x^2 + 210861568691803125000*x + 37252902984619140625
2332, 5, 244140625*x^4 - 679144900*x^3 + 870340326*x^2 - 679144900*x + 244140625
2337, 5, 9765625*x^4 - 8388900*x^3 + 20905046*x^2 - 8388900*x + 9765625
2348, 5, 78125*x^2 - 152886*x + 78125
2353, 5, 25*x^4 + 9*x^3 + 49*x^2 + 9*x + 25
2373, 5, 23283064365386962890625*x^4 + 17133386848050334062500*x^3 - 5406614525818589959866*x^2 + 17133386848050334062500*x + 23283064365386962890625
2392, 5, 3814697265625*x^4 + 271026456250*x^3 - 3939758234301*x^2 + 271026456250*x + 3814697265625
2397, 5, 931322574615478515625*x^4 + 2952091608528306562500*x^3 + 4161912679504359384374*x^2 + 2952091608528306562500*x + 931322574615478515625
2408, 5, 9765625*x^4 - 12930500*x^3 + 10140054*x^2 - 12930500*x + 9765625
2413, 5, 3125*x^2 - 3951*x + 3125
2428, 5, 1220703125*x^2 - 2128894566*x + 1220703125
2433, 5, 78125*x^2 + 58119*x + 78125
2453, 5, 78125*x^2 + 100799*x + 78125
2472, 5, 931322574615478515625*x^4 - 297218264057706762500*x^3 - 186570924771575556426*x^2 - 297218264057706762500*x + 931322574615478515625
2488, 5, 19073486328125*x^2 + 38039425368074*x + 19073486328125
2492, 5, 59604644775390625*x^4 - 29984982611545840*x^3 + 5327946102331266*x^2 - 29984982611545840*x + 59604644775390625
2497, 5, 3125*x^2 - 3001*x + 3125
2508, 5, 9094947017729282379150390625*x^8 + 20214105656532093017578125000*x^7 + 40457784887006858692660937500*x^6 + 57272676127609293925008979320*x^5 + 62731206087601866121511856006*x^4 + 57272676127609293925008979320*x^3 + 40457784887006858692660937500*x^2 + 20214105656532093017578125000*x + 9094947017729282379150390625
2513, 5, 19073486328125*x^2 + 28874618793334*x + 19073486328125
2517, 5, 116415321826934814453125*x^2 - 2626233244115230058906*x + 116415321826934814453125
2533, 5, 244140625*x^8 - 175703750*x^7 + 402160025*x^6 - 642188246*x^5 + 350515956*x^4 - 642188246*x^3 + 402160025*x^2 - 175703750*x + 244140625
2537, 5, 125*x^2 - 191*x + 125
2552, 5, 9765625*x^4 - 716250*x^3 - 17827309*x^2 - 716250*x + 9765625
2553, 5, 0
2568, 5, 3814697265625*x^4 - 10549175562500*x^3 + 14492517764694*x^2 - 10549175562500*x + 3814697265625
2572, 5, 125*x^2 + 234*x + 125
2573, 5, 1953125*x^2 - 3355686*x + 1953125
2577, 5, 78125*x^2 + 153849*x + 78125
2588, 5, 11920928955078125*x^2 + 18785681472770634*x + 11920928955078125
2613, 5, 2384185791015625*x^4 + 1139510776237500*x^3 + 4864122018146294*x^2 + 1139510776237500*x + 2384185791015625
2632, 5, 95367431640625*x^8 + 2501171875000*x^7 + 14219891937500*x^6 + 120147481397000*x^5 + 26134244035174*x^4 + 120147481397000*x^3 + 14219891937500*x^2 + 2501171875000*x + 95367431640625
2648, 5, 125*x^2 - 81*x + 125
2652, 5, 0
2653, 5, 125*x^2 + 129*x + 125
2668, 5, 14551915228366851806640625*x^4 - 16184246415068969726562500*x^3 + 32856592117476435328052646*x^2 - 16184246415068969726562500*x + 14551915228366851806640625
2697, 5, 55511151231257827021181583404541015625*x^4 + 8329306580197794007034683227539062500*x^3 + 72401274114736884965245241366520242486*x^2 + 8329306580197794007034683227539062500*x + 55511151231257827021181583404541015625
2712, 5, 3814697265625*x^4 + 3058190362500*x^3 + 93309232214*x^2 + 3058190362500*x + 3814697265625
2717, 5, 9765625*x^4 + 7309350*x^3 - 498349*x^2 + 7309350*x + 9765625
2728, 5, 390625*x^4 - 1415730*x^3 + 2056451*x^2 - 1415730*x + 390625
2732, 5, 3125*x^2 + 474*x + 3125
2733, 5, 4656612873077392578125*x^2 + 7149187676589822808874*x + 4656612873077392578125
2737, 5, 931322574615478515625*x^4 + 22481139785139062500*x^3 - 1766231048083470836106*x^2 + 22481139785139062500*x + 931322574615478515625
2748, 5, 14551915228366851806640625*x^4 - 21214888802991245326562500*x^3 + 13947900061966127051306406*x^2 - 21214888802991245326562500*x + 14551915228366851806640625
2757, 5, 19073486328125*x^2 - 4927755245706*x + 19073486328125
2773, 5, 30517578125*x^2 + 57015723049*x + 30517578125
2812, 5, 6103515625*x^4 + 3124025000*x^3 - 1782332121*x^2 + 3124025000*x + 6103515625
2828, 5, 37252902984619140625*x^4 - 121840434581835937500*x^3 + 169755920263080515366*x^2 - 121840434581835937500*x + 37252902984619140625
2872, 5, 19073486328125*x^2 + 28874618793334*x + 19073486328125
2877, 5, 14551915228366851806640625*x^4 - 54273807807350305789062500*x^3 + 79544298997663946398699494*x^2 - 54273807807350305789062500*x + 14551915228366851806640625
2892, 5, 0
2893, 5, 1220703125*x^2 - 2353852801*x + 1220703125
2908, 5, 45474735088646411895751953125*x^10 - 84316292404601947937011718750*x^9 + 82048492838356373253587890625*x^8 - 39549648274996975491872343400*x^7 - 5851021347650888617344404390*x^6 + 43692025271283878165194580364*x^5 - 5851021347650888617344404390*x^4 - 39549648274996975491872343400*x^3 + 82048492838356373253587890625*x^2 - 84316292404601947937011718750*x + 45474735088646411895751953125
2913, 5, 0
2933, 5, 1953125*x^2 - 3095066*x + 1953125
2937, 5, 390625*x^4 + 100270*x^3 - 570909*x^2 + 100270*x + 390625
2968, 5, 390625*x^4 + 146870*x^3 - 147621*x^2 + 146870*x + 390625
2972, 5, 476837158203125*x^2 - 774150816151206*x + 476837158203125
2973, 5, 762939453125*x^2 + 810060404634*x + 762939453125
2993, 5, 2384185791015625*x^12 + 2486453613281250*x^11 - 4060496896078125*x^10 - 3276552057736236*x^9 + 5944992204205509*x^8 + 2503815510410142*x^7 - 5109312859884505*x^6 + 2503815510410142*x^5 + 5944992204205509*x^4 - 3276552057736236*x^3 - 4060496896078125*x^2 + 2486453613281250*x + 2384185791015625
3013, 5, 30517578125*x^2 - 50018974486*x + 30517578125
3017, 5, 476837158203125*x^2 + 953651197145594*x + 476837158203125
3032, 5, 125*x^2 + 129*x + 125
3048, 5, 931322574615478515625*x^4 + 252826117669668437500*x^3 - 634795911606575556426*x^2 + 252826117669668437500*x + 931322574615478515625
3052, 5, 244140625*x^4 + 29277500*x^3 - 400523034*x^2 + 29277500*x + 244140625
3053, 5, 78125*x^2 + 155114*x + 78125
3057, 5, 1220703125*x^2 - 2310076511*x + 1220703125
3068, 5, 2384185791015625*x^4 + 1139959038168750*x^3 + 361901810767211*x^2 + 1139959038168750*x + 2384185791015625
3073, 5, 30517578125*x^2 - 22212096426*x + 30517578125
3093, 5, 2910383045673370361328125*x^2 + 44678444152160678272394*x + 2910383045673370361328125
3097, 5, 5*x^2 + 9*x + 5
3113, 5, 125*x^2 + 74*x + 125
3117, 5, 11920928955078125*x^2 + 14464669092751254*x + 11920928955078125
3128, 5, 6103515625*x^4 - 842844420*x^3 + 7314794294*x^2 - 842844420*x + 6103515625
3148, 5, 3125*x^2 + 474*x + 3125
3153, 5, 3125*x^2 + 5199*x + 3125
3157, 5, 6103515625*x^4 + 12662874375*x^3 + 13735047776*x^2 + 12662874375*x + 6103515625
3173, 5, 48828125*x^6 + 69756525*x^5 + 4792470*x^4 - 40573359*x^3 + 4792470*x^2 + 69756525*x + 48828125
3192, 5, 0
3193, 5, 30517578125*x^2 - 38148912726*x + 30517578125
3197, 5, 1953125*x^2 + 3835494*x + 1953125
3208, 5, 6103515625*x^4 + 9765464036*x^3 + 12886068214*x^2 + 9765464036*x + 6103515625
3212, 5, 9765625*x^4 + 2727870*x^3 + 13813451*x^2 + 2727870*x + 9765625
3228, 5, 5684341886080801486968994140625*x^4 + 18297876500374602121431435898020*x^3 + 25960589998204366795260418301606*x^2 + 18297876500374602121431435898020*x + 5684341886080801486968994140625
3237, 5, 14551915228366851806640625*x^4 - 18683506034709522552245020*x^3 + 26423935262389008735307494*x^2 - 18683506034709522552245020*x + 14551915228366851806640625
3273, 5, 762939453125*x^2 - 1293923971561*x + 762939453125
3288, 5, 3814697265625*x^4 + 14790604069500*x^3 + 21952076955734*x^2 + 14790604069500*x + 3814697265625
3292, 5, 1953125*x^2 + 1844154*x + 1953125
3297, 5, 3552713678800500929355621337890625*x^4 + 1571741496913755000114440917968750*x^3 - 3882680043876579137812593723843901*x^2 + 1571741496913755000114440917968750*x + 3552713678800500929355621337890625
3308, 5, 78125*x^2 - 152886*x + 78125
3317, 5, 1953125*x^2 - 3355686*x + 1953125
3333, 5, 931322574615478515625*x^4 - 2579377891309561222500*x^3 + 3639607431917736971126*x^2 - 2579377891309561222500*x + 931322574615478515625
3337, 5, 2910383045673370361328125*x^2 + 4793239595910377732952074*x + 2910383045673370361328125
3352, 5, 1953125*x^2 - 3095066*x + 1953125
3353, 5, 298023223876953125*x^2 - 593213538562430426*x + 298023223876953125
3372, 5, 9094947017729282379150390625*x^4 + 12359003041413229340039062500*x^3 + 8756389684271354611983541766*x^2 + 12359003041413229340039062500*x + 9094947017729282379150390625
3377, 5, 125*x^2 + 74*x + 125
3397, 5, 3125*x^2 - 4986*x + 3125
3417, 5, 152587890625*x^4 + 32178737500*x^3 + 21501851334*x^2 + 32178737500*x + 152587890625
3432, 5, 0
3437, 5, 1953125*x^2 - 2700646*x + 1953125
3448, 5, 476837158203125*x^2 + 953651197145594*x + 476837158203125
3452, 5, 476837158203125*x^2 - 774150816151206*x + 476837158203125
3453, 5, 45474735088646411895751953125*x^2 - 64874399574651563817477049126*x + 45474735088646411895751953125
3473, 5, 476837158203125*x^2 - 28421904172806*x + 476837158203125
3477, 5, 9094947017729282379150390625*x^8 + 33527583733018368560546875000*x^7 + 76932590056758072090667097500*x^6 + 117886914857331388114200656200*x^5 + 137470539735371522564631091846*x^4 + 117886914857331388114200656200*x^3 + 76932590056758072090667097500*x^2 + 33527583733018368560546875000*x + 9094947017729282379150390625
3493, 5, 125*x^2 + 249*x + 125
3497, 5, 15625*x^4 - 12519*x^3 + 33113*x^2 - 12519*x + 15625
3512, 5, 30517578125*x^2 - 22212096426*x + 30517578125
3513, 5, 78125*x^2 + 137514*x + 78125
3532, 5, 125*x^2 + 234*x + 125
3548, 5, 186264514923095703125*x^2 + 69632328231661366554*x + 186264514923095703125
3553, 5, 625*x^4 - 2205*x^3 + 3176*x^2 - 2205*x + 625
3592, 5, 1490116119384765625*x^12 + 2766797997070312500*x^11 + 6152501811719531250*x^10 + 4900865395797222500*x^9 + 4809106407718459575*x^8 - 763748062667328664*x^7 + 158035739972114236*x^6 - 763748062667328664*x^5 + 4809106407718459575*x^4 + 4900865395797222500*x^3 + 6152501811719531250*x^2 + 2766797997070312500*x + 1490116119384765625
3597, 5, 363797880709171295166015625*x^4 - 310074703678515410339066180*x^3 + 596984859811629307171056246*x^2 - 310074703678515410339066180*x + 363797880709171295166015625
3608, 5, 15625*x^4 + 49245*x^3 + 69176*x^2 + 49245*x + 15625
3612, 5, 0
3628, 5, 125*x^2 + 234*x + 125
3633, 5, 55511151231257827021181583404541015625*x^4 + 20059684249100030905270195007324218750*x^3 - 25977208774034469630518723037061378101*x^2 + 20059684249100030905270195007324218750*x + 55511151231257827021181583404541015625
3657, 5, 0
3692, 5, 37252902984619140625*x^4 + 10973583022664062500*x^3 + 66852501367809769766*x^2 + 10973583022664062500*x + 37252902984619140625
3693, 5, 7450580596923828125*x^2 + 3775720336304249034*x + 7450580596923828125
3713, 5, 298023223876953125*x^2 + 593385128692481574*x + 298023223876953125
3737, 5, 15625*x^4 + 38529*x^3 + 48017*x^2 + 38529*x + 15625
3777, 5, 30517578125*x^2 - 21043655786*x + 30517578125
3813, 5, 9094947017729282379150390625*x^4 - 12503249259920639456835937500*x^3 + 14480486370615079247246595206*x^2 - 12503249259920639456835937500*x + 9094947017729282379150390625
3817, 5, 3125*x^2 - 3001*x + 3125
3837, 5, 11920928955078125*x^2 + 23621804598526614*x + 11920928955078125
3857, 5, 1490116119384765625*x^4 + 3645832975292968750*x^3 + 5112333486520947771*x^2 + 3645832975292968750*x + 1490116119384765625
3873, 5, 1220703125*x^6 - 1578999600*x^5 + 2965903440*x^4 - 2928128679*x^3 + 2965903440*x^2 - 1578999600*x + 1220703125
3893, 5, 9765625*x^4 - 7036614*x^3 + 2287603*x^2 - 7036614*x + 9765625
