D,p, Pol
12, 17, 17*x^2 + 16*x + 17
24, 17, 17*x^2 - 2*x + 17
28, 17, 17*x^2 + 16*x + 17
44, 17, 17*x^2 + 16*x + 17
56, 17, 17*x^2 - 2*x + 17
57, 17, 17*x^2 + 15*x + 17
88, 17, 17*x^2 - 2*x + 17
92, 17, 4913*x^2 - 9776*x + 4913
105, 17, 24137569*x^4 + 78731114*x^3 + 110213259*x^2 + 78731114*x + 24137569
124, 17, 4913*x^2 - 9776*x + 4913
129, 17, 17*x^2 - 9*x + 17
133, 17, 17*x^2 + 15*x + 17
141, 17, 1419857*x^2 + 2331362*x + 1419857
156, 17, 0
165, 17, 24137569*x^4 - 64198596*x^3 + 86675654*x^2 - 64198596*x + 24137569
177, 17, 4913*x^2 + 6050*x + 4913
184, 17, 4913*x^2 - 1726*x + 4913
201, 17, 17*x^2 + 33*x + 17
209, 17, 17*x^2 + 15*x + 17
248, 17, 4913*x^2 - 1726*x + 4913
249, 17, 4913*x^2 - 4201*x + 4913
284, 17, 410338673*x^2 + 233186704*x + 410338673
301, 17, 17*x^2 - 9*x + 17
309, 17, 1419857*x^2 + 1616478*x + 1419857
312, 17, 0
316, 17, 118587876497*x^6 + 480660559792*x^5 + 954554173619*x^4 + 1176960843616*x^3 + 954554173619*x^2 + 480660559792*x + 118587876497
329, 17, 1419857*x^2 + 2331362*x + 1419857
345, 17, 0
364, 17, 83521*x^4 - 69088*x^3 - 28542*x^2 - 69088*x + 83521
377, 17, 289*x^4 - 545*x^3 + 681*x^2 - 545*x + 289
380, 17, 6975757441*x^4 + 15767747520*x^3 + 20344747007*x^2 + 15767747520*x + 6975757441
381, 17, 1419857*x^2 - 2654814*x + 1419857
385, 17, 83521*x^4 + 198186*x^3 + 237611*x^2 + 198186*x + 83521
413, 17, 4913*x^2 + 6050*x + 4913
428, 17, 4913*x^2 - 9776*x + 4913
437, 17, 4913*x^2 + 9630*x + 4913
453, 17, 0
456, 17, 24137569*x^4 + 88769340*x^3 + 129433286*x^2 + 88769340*x + 24137569
465, 17, 0
469, 17, 1419857*x^6 - 1605395*x^5 + 2026995*x^4 - 3408482*x^3 + 2026995*x^2 - 1605395*x + 1419857
473, 17, 1419857*x^6 - 1602216*x^5 + 4357032*x^4 - 2991159*x^3 + 4357032*x^2 - 1602216*x + 1419857
505, 17, 6975757441*x^8 + 37651684405*x^7 + 99406948231*x^6 + 168843489120*x^5 + 200231931731*x^4 + 168843489120*x^3 + 99406948231*x^2 + 37651684405*x + 6975757441
517, 17, 1419857*x^2 + 2331362*x + 1419857
524, 17, 1419857*x^2 + 1811536*x + 1419857
537, 17, 1419857*x^2 - 2272705*x + 1419857
556, 17, 4913*x^2 - 9776*x + 4913
568, 17, 410338673*x^6 - 538583290*x^5 + 101002015*x^4 + 180822804*x^3 + 101002015*x^2 - 538583290*x + 410338673
572, 17, 0
573, 17, 9904578032905937*x^2 - 19466410900840990*x + 9904578032905937
581, 17, 4913*x^2 - 4201*x + 4913
584, 17, 289*x^4 + 882*x^3 + 1235*x^2 + 882*x + 289
589, 17, 4913*x^2 + 9630*x + 4913
609, 17, 0
632, 17, 1419857*x^2 + 823682*x + 1419857
636, 17, 0
649, 17, 4913*x^2 + 6050*x + 4913
652, 17, 17*x^2 + 16*x + 17
668, 17, 34271896307633*x^2 + 53420761551184*x + 34271896307633
669, 17, 410338673*x^2 + 815525154*x + 410338673
717, 17, 2862423051509815793*x^2 + 1079135283195728350*x + 2862423051509815793
721, 17, 1419857*x^2 + 1616478*x + 1419857
728, 17, 24137569*x^4 + 1832260*x^3 - 37892154*x^2 + 1832260*x + 24137569
737, 17, 17*x^2 + 33*x + 17
741, 17, 0
745, 17, 289*x^4 + 769*x^3 + 1009*x^2 + 769*x + 289
753, 17, 410338673*x^2 - 96140495*x + 410338673
760, 17, 6975757441*x^4 - 11970573630*x^3 + 17864242499*x^2 - 11970573630*x + 6975757441
776, 17, 24137569*x^4 + 24784836*x^3 + 53839046*x^2 + 24784836*x + 24137569
777, 17, 0
789, 17, 0
793, 17, 6975757441*x^8 - 11200166100*x^7 + 336390798*x^6 + 4950654625*x^5 - 1189586607*x^4 + 4950654625*x^3 + 336390798*x^2 - 11200166100*x + 6975757441
796, 17, 118587876497*x^2 - 226387416944*x + 118587876497
805, 17, 24137569*x^4 + 2396966*x^3 - 37600581*x^2 + 2396966*x + 24137569
813, 17, 34271896307633*x^2 + 32594749763490*x + 34271896307633
840, 17, 0
844, 17, 4913*x^2 - 9776*x + 4913
856, 17, 4913*x^2 - 1726*x + 4913
860, 17, 0
861, 17, 0
889, 17, 1419857*x^2 - 2654814*x + 1419857
908, 17, 1419857*x^2 + 1811536*x + 1419857
913, 17, 4913*x^2 - 4201*x + 4913
921, 17, 4913*x^2 + 9822*x + 4913
924, 17, 0
940, 17, 0
957, 17, 0
989, 17, 4913*x^2 - 7074*x + 4913
993, 17, 0
1032, 17, 0
1048, 17, 1419857*x^2 + 823682*x + 1419857
1057, 17, 0
1065, 17, 0
1077, 17, 0
1081, 17, 2862423051509815793*x^2 - 1428502260531614686*x + 2862423051509815793
1085, 17, 24137569*x^4 - 7011446*x^3 + 38764779*x^2 - 7011446*x + 24137569
1133, 17, 1419857*x^2 + 1616478*x + 1419857
1149, 17, 0
1185, 17, 0
1221, 17, 0
1253, 17, 1419857*x^2 - 2272705*x + 1419857
1265, 17, 0
1281, 17, 0
1329, 17, 1419857*x^2 + 2386082*x + 1419857
1333, 17, 4913*x^2 - 7074*x + 4913
1337, 17, 9904578032905937*x^2 - 19466410900840990*x + 9904578032905937
1349, 17, 410338673*x^2 + 46566255*x + 410338673
1353, 17, 24137569*x^4 - 28486850*x^3 + 9262563*x^2 - 28486850*x + 24137569
1357, 17, 0
1365, 17, 0
1389, 17, 410338673*x^2 - 335186658*x + 410338673
1397, 17, 1419857*x^2 - 2654814*x + 1419857
1401, 17, 410338673*x^2 + 788375423*x + 410338673
1405, 17, 24137569*x^4 + 19636375*x^3 - 5939888*x^2 + 19636375*x + 24137569
1457, 17, 2862423051509815793*x^2 - 1428502260531614686*x + 2862423051509815793
1469, 17, 24137569*x^4 - 61240558*x^3 + 80878515*x^2 - 61240558*x + 24137569
1473, 17, 0
1501, 17, 1419857*x^2 - 2146575*x + 1419857
1533, 17, 0
1537, 17, 24137569*x^4 + 36744335*x^3 + 32964913*x^2 + 36744335*x + 24137569
1541, 17, 4913*x^2 + 7326*x + 4913
1561, 17, 410338673*x^2 + 815525154*x + 410338673
1569, 17, 1419857*x^2 - 763233*x + 1419857
1605, 17, 0
1661, 17, 410338673*x^2 - 819728670*x + 410338673
1673, 17, 2862423051509815793*x^2 + 1079135283195728350*x + 2862423051509815793
1677, 17, 0
1689, 17, 118587876497*x^2 - 219896387593*x + 118587876497
1705, 17, 0
1729, 17, 24137569*x^4 - 25931970*x^3 + 6301411*x^2 - 25931970*x + 24137569
1757, 17, 410338673*x^2 - 96140495*x + 410338673
1761, 17, 0
1797, 17, 0
1829, 17, 0
1833, 17, 0
1841, 17, 0
1893, 17, 0
1897, 17, 0
1909, 17, 0
1941, 17, 0
1945, 17, 24137569*x^4 + 29467009*x^3 + 18040969*x^2 + 29467009*x + 24137569
1961, 17, 24137569*x^4 - 64419417*x^3 + 80565905*x^2 - 64419417*x + 24137569
1965, 17, 0
1969, 17, 1419857*x^2 - 2272705*x + 1419857
1977, 17, 34271896307633*x^2 + 6355989129890*x + 34271896307633
2001, 17, 0
2013, 17, 0
2033, 17, 4913*x^2 + 9630*x + 4913
2037, 17, 0
2045, 17, 24137569*x^4 + 72450409*x^3 + 102457680*x^2 + 72450409*x + 24137569
2077, 17, 4913*x^2 + 7326*x + 4913
2085, 17, 0
2101, 17, 0
2105, 17, 24137569*x^4 - 18309055*x^3 + 2809977*x^2 - 18309055*x + 24137569
2145, 17, 0
2149, 17, 4913*x^2 + 9822*x + 4913
2181, 17, 9904578032905937*x^2 + 2420565517510626*x + 9904578032905937
2217, 17, 1419857*x^2 - 2838975*x + 1419857
2233, 17, 0
1064, 17, 24137569*x^4 - 55317218*x^3 + 72708387*x^2 - 55317218*x + 24137569
1068, 17, 0
1112, 17, 4913*x^2 - 1726*x + 4913
1128, 17, 0
1132, 17, 4913*x^2 - 9776*x + 4913
1144, 17, 0
1180, 17, 0
1196, 17, 0
1212, 17, 0
1244, 17, 0
1272, 17, 0
1304, 17, 1419857*x^6 + 4807226*x^5 + 9353791*x^4 + 11305580*x^3 + 9353791*x^2 + 4807226*x + 1419857
1320, 17, 0
1336, 17, 0
1340, 17, 0
1388, 17, 1419857*x^2 + 1811536*x + 1419857
1416, 17, 0
1468, 17, 118587876497*x^2 - 226387416944*x + 118587876497
1484, 17, 0
1516, 17, 4913*x^2 - 9776*x + 4913
1544, 17, 0
1592, 17, 118587876497*x^2 - 119842447106*x + 118587876497
1608, 17, 0
1612, 17, 0
1644, 17, 0
1660, 17, 0
1672, 17, 24137569*x^4 + 39960030*x^3 + 55488611*x^2 + 39960030*x + 24137569
1676, 17, 118587876497*x^2 - 226387416944*x + 118587876497
1688, 17, 4913*x^2 - 1726*x + 4913
1720, 17, 0
1724, 17, 0
1740, 17, 0
1756, 17, 0
1788, 17, 0
1816, 17, 1419857*x^2 + 823682*x + 1419857
1848, 17, 0
1864, 17, 289*x^4 + 542*x^3 + 739*x^2 + 542*x + 289
1880, 17, 0
