D,p, Pol
12, 7, x^2 - x + 1
24, 7, 7*x^2 + 13*x + 7
33, 7, 7*x^2 + 13*x + 7
69, 7, 343*x^2 + 286*x + 343
76, 7, 7*x^2 - 5*x + 7
124, 7, 343*x^2 + 430*x + 343
129, 7, 7*x^2 + 13*x + 7
136, 7, 49*x^4 + 52*x^3 + 70*x^2 + 52*x + 49
152, 7, 7*x^2 - 5*x + 7
188, 7, 16807*x^2 + 31922*x + 16807
201, 7, 7*x^2 + 13*x + 7
209, 7, 7*x^2 - 5*x + 7
213, 7, 823543*x^2 - 1461083*x + 823543
220, 7, 2401*x^4 - 6396*x^3 + 8006*x^2 - 6396*x + 2401
236, 7, 343*x^2 - 155*x + 343
237, 7, 16807*x^2 - 10907*x + 16807
248, 7, 343*x^2 + 430*x + 343
264, 7, 117649*x^4 + 299390*x^3 + 391371*x^2 + 299390*x + 117649
285, 7, 5764801*x^4 - 1020530*x^3 + 6760419*x^2 - 1020530*x + 5764801
321, 7, 4747561509943*x^6 + 9414439453335*x^5 + 6095965902306*x^4 + 1158716919139*x^3 + 6095965902306*x^2 + 9414439453335*x + 4747561509943
332, 7, 343*x^2 - 61*x + 343
341, 7, 343*x^2 + 430*x + 343
348, 7, 1628413597910449*x^4 - 4247982665494204*x^3 + 6024843029030694*x^2 - 4247982665494204*x + 1628413597910449
376, 7, 16807*x^2 + 31922*x + 16807
377, 7, 49*x^4 - 61*x^3 + 105*x^2 - 61*x + 49
381, 7, 16807*x^2 - 10907*x + 16807
412, 7, 16807*x^2 - 242*x + 16807
437, 7, 343*x^2 - 610*x + 343
440, 7, 2401*x^4 + 3276*x^3 + 3046*x^2 + 3276*x + 2401
444, 7, 191581231380566414401*x^4 - 553798181662070474542*x^3 + 781545254307971085843*x^2 - 553798181662070474542*x + 191581231380566414401
453, 7, 823543*x^2 - 1461083*x + 823543
460, 7, 13841287201*x^4 - 5941308114*x^3 - 3259317949*x^2 - 5941308114*x + 13841287201
465, 7, 1628413597910449*x^4 - 4225166698806130*x^3 + 5383633263655011*x^2 - 4225166698806130*x + 1628413597910449
472, 7, 343*x^2 - 155*x + 343
489, 7, 7*x^2 + 13*x + 7
517, 7, 16807*x^2 + 31922*x + 16807
524, 7, 16807*x^2 - 32435*x + 16807
537, 7, 16807*x^2 - 10907*x + 16807
545, 7, 49*x^4 + 101*x^3 + 105*x^2 + 101*x + 49
552, 7, 1628413597910449*x^4 + 3628866784725770*x^3 + 4013798329579011*x^2 + 3628866784725770*x + 1628413597910449
556, 7, 343*x^2 - 565*x + 343
572, 7, 282475249*x^4 + 24266564*x^3 - 313639770*x^2 + 24266564*x + 282475249
573, 7, 96889010407*x^2 + 44342429053*x + 96889010407
584, 7, 49*x^4 + 2*x^3 - 21*x^2 + 2*x + 49
633, 7, 343*x^2 + 286*x + 343
636, 7, 22539340290692258087863249*x^4 - 12019590785374630656818620*x^3 - 2943405286722736658219802*x^2 - 12019590785374630656818620*x + 22539340290692258087863249
649, 7, 343*x^2 - 155*x + 343
664, 7, 343*x^2 - 61*x + 343
