D,p, Pol
12, 19, x^2 - x + 1
21, 19, 19*x^2 + 37*x + 19
33, 19, 19*x^2 + 37*x + 19
56, 19, 19*x^2 + 34*x + 19
60, 19, 47045881*x^4 + 11517572*x^3 + 80331798*x^2 + 11517572*x + 47045881
69, 19, 6859*x^2 + 10582*x + 6859
88, 19, 19*x^2 + 34*x + 19
105, 19, 47045881*x^4 - 52329838*x^3 + 95336763*x^2 - 52329838*x + 47045881
124, 19, 6859*x^2 - 10618*x + 6859
129, 19, 19*x^2 + 37*x + 19
136, 19, 361*x^4 + 508*x^3 + 310*x^2 + 508*x + 361
141, 19, 2476099*x^2 + 2024677*x + 2476099
165, 19, 47045881*x^4 + 11517572*x^3 + 80331798*x^2 + 11517572*x + 47045881
184, 19, 6859*x^2 - 2482*x + 6859
204, 19, 16983563041*x^4 + 58364312708*x^3 + 83835241158*x^2 + 58364312708*x + 16983563041
205, 19, 361*x^4 + 1234*x^3 + 1771*x^2 + 1234*x + 361
217, 19, 6859*x^2 - 10618*x + 6859
221, 19, 361*x^4 - 751*x^3 + 1104*x^2 - 751*x + 361
236, 19, 6859*x^2 - 443*x + 6859
249, 19, 6859*x^2 + 10582*x + 6859
268, 19, 19*x^2 - 29*x + 19
280, 19, 361*x^4 + 68*x^3 + 438*x^2 + 68*x + 361
284, 19, 893871739*x^2 + 1681323622*x + 893871739
312, 19, 2213314919066161*x^4 + 7750717393892942*x^3 + 11074850562225603*x^2 + 7750717393892942*x + 2213314919066161
316, 19, 322687697779*x^6 + 329983416446*x^5 + 166529437693*x^4 - 2130331612*x^3 + 166529437693*x^2 + 329983416446*x + 322687697779
341, 19, 6859*x^2 - 10618*x + 6859
344, 19, 19*x^2 + 34*x + 19
345, 19, 104127350297911241532841*x^4 + 269313316354909668842066*x^3 + 370298516319289803354411*x^2 + 269313316354909668842066*x + 104127350297911241532841
357, 19, 6131066257801*x^4 - 21130670891902*x^3 + 30404785917003*x^2 - 21130670891902*x + 6131066257801
364, 19, 130321*x^4 + 274550*x^3 + 299067*x^2 + 274550*x + 130321
376, 19, 2476099*x^2 + 3353726*x + 2476099
393, 19, 2476099*x^2 + 2024677*x + 2476099
412, 19, 2476099*x^2 + 3880586*x + 2476099
413, 19, 6859*x^2 - 443*x + 6859
417, 19, 6859*x^2 + 10582*x + 6859
428, 19, 6859*x^2 - 5051*x + 6859
440, 19, 130321*x^4 + 16492*x^3 - 70842*x^2 + 16492*x + 130321
469, 19, 2476099*x^6 - 11834663*x^5 + 25354930*x^4 - 31990523*x^3 + 25354930*x^2 - 11834663*x + 2476099
489, 19, 19*x^2 + 37*x + 19
497, 19, 893871739*x^2 + 1681323622*x + 893871739
508, 19, 2476099*x^2 - 3241334*x + 2476099
545, 19, 361*x^4 + 661*x^3 + 681*x^2 + 661*x + 361
553, 19, 2476099*x^2 - 806902*x + 2476099
561, 19, 47045881*x^4 - 111524452*x^3 + 135187158*x^2 - 111524452*x + 47045881
572, 19, 6131066257801*x^4 - 19556071678588*x^3 + 27787600238838*x^2 - 19556071678588*x + 6131066257801
573, 19, 42052983462257059*x^2 - 83128476573258443*x + 42052983462257059
584, 19, 361*x^4 + 1143*x^3 + 1600*x^2 + 1143*x + 361
597, 19, 322687697779*x^2 - 308559680858*x + 322687697779
645, 19, 799006685782884121*x^4 + 2716227007467294002*x^3 + 3852868735462331643*x^2 + 2716227007467294002*x + 799006685782884121
649, 19, 6859*x^2 - 443*x + 6859
705, 19, 230466617897195215045509519405933293401*x^4 - 102495504054010944618435181761800978308*x^3 - 5024609545163754305668633280790963882*x^2 - 102495504054010944618435181761800978308*x + 230466617897195215045509519405933293401
713, 19, 322687697779*x^2 - 301505744342*x + 322687697779
717, 19, 15181127029874798299*x^2 - 28940493759797289098*x + 15181127029874798299
721, 19, 2476099*x^2 + 3880586*x + 2476099
737, 19, 19*x^2 - 29*x + 19
749, 19, 6859*x^2 - 5051*x + 6859
753, 19, 893871739*x^2 - 69090803*x + 893871739
781, 19, 893871739*x^2 + 1681323622*x + 893871739
789, 19, 42052983462257059*x^2 - 83128476573258443*x + 42052983462257059
793, 19, 16983563041*x^8 - 40956371633*x^7 + 39058218471*x^6 - 5117643688*x^5 - 19286760541*x^4 - 5117643688*x^3 + 39058218471*x^2 - 40956371633*x + 16983563041
813, 19, 116490258898219*x^2 - 190634130977363*x + 116490258898219
849, 19, 6859*x^2 + 10582*x + 6859
869, 19, 2476099*x^2 - 806902*x + 2476099
889, 19, 2476099*x^2 - 3241334*x + 2476099
905, 19, 16983563041*x^8 + 26333703828*x^7 + 24331532126*x^6 - 8594801757*x^5 - 18618081951*x^4 - 8594801757*x^3 + 24331532126*x^2 + 26333703828*x + 16983563041
933, 19, 0
1001, 19, 0
1041, 19, 2476099*x^2 + 2024677*x + 2476099
1057, 19, 0
1077, 19, 0
1085, 19, 47045881*x^4 - 135772366*x^3 + 182157531*x^2 - 135772366*x + 47045881
1101, 19, 0
1133, 19, 2476099*x^2 + 3880586*x + 2476099
1169, 19, 0
1173, 19, 0
1177, 19, 6859*x^2 - 5051*x + 6859
1205, 19, 47045881*x^4 - 64565636*x^3 + 94329366*x^2 - 64565636*x + 47045881
1209, 19, 0
1245, 19, 0
1253, 19, 2476099*x^2 + 4589723*x + 2476099
1257, 19, 0
1281, 19, 0
1329, 19, 2476099*x^2 + 2024677*x + 2476099
1333, 19, 6859*x^2 - 10618*x + 6859
1345, 19, 0
1357, 19, 322687697779*x^2 - 62437037542*x + 322687697779
1389, 19, 893871739*x^2 - 69090803*x + 893871739
1397, 19, 2476099*x^2 - 3241334*x + 2476099
1401, 19, 893871739*x^2 - 69090803*x + 893871739
1405, 19, 47045881*x^4 + 29530526*x^3 - 26027189*x^2 + 29530526*x + 47045881
1437, 19, 0
1457, 19, 0
1473, 19, 322687697779*x^2 - 308559680858*x + 322687697779
1477, 19, 6859*x^2 + 13507*x + 6859
1497, 19, 6859*x^2 + 10582*x + 6859
1509, 19, 0
1513, 19, 0
1533, 19, 0
1541, 19, 6859*x^2 + 7018*x + 6859
604, 19, 893871739*x^2 + 1787627878*x + 893871739
616, 19, 130321*x^4 + 74100*x^3 + 174854*x^2 + 74100*x + 130321
620, 19, 2213314919066161*x^4 + 1635731723827346*x^3 + 3613546929091011*x^2 + 1635731723827346*x + 2213314919066161
664, 19, 6859*x^2 - 2482*x + 6859
668, 19, 116490258898219*x^2 + 226780079151814*x + 116490258898219
696, 19, 104127350297911241532841*x^4 + 210519876479580654532886*x^3 + 298855777623958697844171*x^2 + 210519876479580654532886*x + 104127350297911241532841
716, 19, 2476099*x^2 + 4589723*x + 2476099
732, 19, 4898762930960846817716295277921*x^4 + 6716901019485123101627065565282*x^3 + 10288570352623358943971047536003*x^2 + 6716901019485123101627065565282*x + 4898762930960846817716295277921
744, 19, 104127350297911241532841*x^4 + 75073133168229436158622*x^3 - 55350955097251562338437*x^2 + 75073133168229436158622*x + 104127350297911241532841
