D,p, Pol
21, 2, 4*x^2 - x + 4
69, 2, 8*x^2 + 7*x + 8
77, 2, 2*x^2 + 3*x + 2
93, 2, 8*x^2 + 15*x + 8
133, 2, 2*x^2 + 3*x + 2
141, 2, 32*x^2 - 17*x + 32
165, 2, 64*x^4 - 66*x^3 + 29*x^2 - 66*x + 64
205, 2, 4*x^4 - 5*x^3 + 7*x^2 - 5*x + 4
213, 2, 128*x^2 - 185*x + 128
221, 2, 4*x^4 + 3*x^3 - x^2 + 3*x + 4
237, 2, 32*x^2 + 15*x + 32
253, 2, 8*x^2 + 7*x + 8
285, 2, 256*x^4 + 286*x^3 + 141*x^2 + 286*x + 256
301, 2, 2*x^2 + 3*x + 2
309, 2, 32*x^2 + 39*x + 32
341, 2, 8*x^2 + 15*x + 8
357, 2, 1024*x^4 + 1980*x^3 + 2273*x^2 + 1980*x + 1024
381, 2, 32*x^2 + 63*x + 32
413, 2, 8*x^2 - 9*x + 8
429, 2, 4096*x^4 + 12190*x^3 + 16269*x^2 + 12190*x + 4096
437, 2, 8*x^2 + 7*x + 8
453, 2, 128*x^2 - 105*x + 128
469, 2, 32*x^6 - 20*x^5 - 18*x^4 + 19*x^3 - 18*x^2 - 20*x + 32
501, 2, 2048*x^2 + 4087*x + 2048
517, 2, 32*x^2 - 17*x + 32
573, 2, 8192*x^2 - 7025*x + 8192
581, 2, 8*x^2 - 9*x + 8
589, 2, 8*x^2 + 15*x + 8
597, 2, 512*x^2 - 825*x + 512
645, 2, 16384*x^4 - 23056*x^3 + 15369*x^2 - 23056*x + 16384
669, 2, 128*x^2 - 33*x + 128
717, 2, 32768*x^2 + 3535*x + 32768
741, 2, 4096*x^4 - 2760*x^3 + 5609*x^2 - 2760*x + 4096
749, 2, 8*x^2 - 9*x + 8
781, 2, 128*x^2 - 185*x + 128
789, 2, 8192*x^2 - 3497*x + 8192
805, 2, 64*x^4 - 84*x^3 + 65*x^2 - 84*x + 64
813, 2, 2048*x^2 - 3825*x + 2048
861, 2, 16384*x^4 + 4464*x^3 - 11071*x^2 + 4464*x + 16384
869, 2, 32*x^2 + 15*x + 32
885, 2, 262144*x^4 + 674784*x^3 + 832169*x^2 + 674784*x + 262144
893, 2, 32*x^2 - 17*x + 32
917, 2, 32*x^2 - 57*x + 32
933, 2, 524288*x^2 - 749705*x + 524288
957, 2, 262144*x^4 - 167440*x^3 - 121287*x^2 - 167440*x + 262144
973, 2, 8*x^2 - 9*x + 8
989, 2, 8*x^2 + 7*x + 8
1005, 2, 262144*x^4 + 296384*x^3 + 148569*x^2 + 296384*x + 262144
1045, 2, 256*x^8 - 776*x^7 + 1472*x^6 - 2080*x^5 + 2281*x^4 - 2080*x^3 + 1472*x^2 - 776*x + 256
1077, 2, 524288*x^2 + 864535*x + 524288
1085, 2, 64*x^4 + 30*x^3 + 101*x^2 + 30*x + 64
1101, 2, 8192*x^6 + 1980*x^5 - 4908*x^4 - 10161*x^3 - 4908*x^2 + 1980*x + 8192
1133, 2, 32*x^2 + 39*x + 32
1141, 2, 2*x^2 + 3*x + 2
1149, 2, 131072*x^2 - 243377*x + 131072
1173, 2, 262144*x^4 + 540540*x^3 + 769313*x^2 + 540540*x + 262144
1205, 2, 64*x^4 + 95*x^3 + 87*x^2 + 95*x + 64
1221, 2, 16777216*x^8 - 23798016*x^7 - 3249392*x^6 + 22460328*x^5 - 21093303*x^4 + 22460328*x^3 - 3249392*x^2 - 23798016*x + 16777216
1245, 2, 262144*x^4 + 237424*x^3 + 178089*x^2 + 237424*x + 262144
1253, 2, 32*x^2 - 57*x + 32
1293, 2, 2097152*x^2 - 3242225*x + 2097152
1309, 2, 1024*x^4 - 2640*x^3 + 3281*x^2 - 2640*x + 1024
1317, 2, 32768*x^2 - 44025*x + 32768
1333, 2, 8*x^2 + 15*x + 8
1349, 2, 128*x^2 - 185*x + 128
1357, 2, 512*x^2 - 1001*x + 512
1365, 2, 16777216*x^8 - 36109440*x^7 + 38149924*x^6 - 19819620*x^5 + 5422641*x^4 - 19819620*x^3 + 38149924*x^2 - 36109440*x + 16777216
1389, 2, 128*x^2 + 207*x + 128
1397, 2, 32*x^2 + 63*x + 32
1405, 2, 64*x^4 + 55*x^3 + 7*x^2 + 55*x + 64
1437, 2, 33554432*x^2 + 66934975*x + 33554432
1461, 2, 128*x^2 + 231*x + 128
1469, 2, 64*x^4 + 159*x^3 + 191*x^2 + 159*x + 64
1477, 2, 8*x^2 - 9*x + 8
1501, 2, 32*x^2 + 15*x + 32
1509, 2, 33554432*x^6 - 26777508*x^5 + 27292116*x^4 - 60773657*x^3 + 27292116*x^2 - 26777508*x + 33554432
1517, 2, 64*x^4 + 231*x^3 + 335*x^2 + 231*x + 64
1533, 2, 16384*x^4 - 23970*x^3 + 41093*x^2 - 23970*x + 16384
1541, 2, 8*x^2 + 7*x + 8
1581, 2, 262144*x^4 + 246015*x^3 - 32254*x^2 + 246015*x + 262144
1589, 2, 32*x^2 - 57*x + 32
1605, 2, 262144*x^4 - 465476*x^3 + 440889*x^2 - 465476*x + 262144
1645, 2, 1024*x^4 + 816*x^3 + 545*x^2 + 816*x + 1024
1653, 2, 67108864*x^4 + 38295920*x^3 - 47251047*x^2 + 38295920*x + 67108864
1661, 2, 128*x^2 - 105*x + 128
1677, 2, 67108864*x^8 - 49452160*x^7 + 88006756*x^6 - 25940980*x^5 + 64446409*x^4 - 25940980*x^3 + 88006756*x^2 - 49452160*x + 67108864
1717, 2, 64*x^4 - 65*x^3 + 103*x^2 - 65*x + 64
1749, 2, 1073741824*x^4 - 1396082688*x^3 + 755920937*x^2 - 1396082688*x + 1073741824
1757, 2, 128*x^2 + 87*x + 128
1797, 2, 33554432*x^2 - 65670665*x + 33554432
1821, 2, 8192*x^2 + 13359*x + 8192
1829, 2, 512*x^2 + 495*x + 512
1837, 2, 2048*x^2 + 4087*x + 2048
1869, 2, 4194304*x^4 - 8001792*x^3 + 8981537*x^2 - 8001792*x + 4194304
1885, 2, 256*x^8 - 580*x^7 + 813*x^6 - 725*x^5 + 728*x^4 - 725*x^3 + 813*x^2 - 580*x + 256
1893, 2, 8192*x^2 + 14535*x + 8192
1909, 2, 512*x^2 - 1001*x + 512
1941, 2, 8388608*x^2 - 16434953*x + 8388608
1957, 2, 512*x^6 - 1508*x^5 + 2484*x^4 - 2873*x^3 + 2484*x^2 - 1508*x + 512
1965, 2, 1073741824*x^4 + 60808704*x^3 - 577835431*x^2 + 60808704*x + 1073741824
1981, 2, 8*x^2 - 9*x + 8
2005, 2, 4096*x^8 + 16880*x^7 + 37676*x^6 + 57995*x^5 + 66831*x^4 + 57995*x^3 + 37676*x^2 + 16880*x + 4096
2013, 2, 1073741824*x^4 - 461421320*x^3 - 1118365527*x^2 - 461421320*x + 1073741824
2021, 2, 512*x^6 + 444*x^5 + 246*x^4 - 101*x^3 + 246*x^2 + 444*x + 512
2037, 2, 262144*x^4 + 129720*x^3 - 263887*x^2 + 129720*x + 262144
2045, 2, 64*x^4 - 9*x^3 - 65*x^2 - 9*x + 64
2077, 2, 8*x^2 + 15*x + 8
2085, 2, 16777216*x^4 - 50315144*x^3 + 70333881*x^2 - 50315144*x + 16777216
2093, 2, 256*x^4 - 434*x^3 + 645*x^2 - 434*x + 256
2101, 2, 8192*x^6 + 5056*x^5 - 8072*x^4 - 10161*x^3 - 8072*x^2 + 5056*x + 8192
2109, 2, 16777216*x^4 - 26034720*x^3 + 29358857*x^2 - 26034720*x + 16777216
2149, 2, 8*x^2 - 9*x + 8
2157, 2, 2147483648*x^2 + 1370212735*x + 2147483648
2181, 2, 8192*x^2 - 15657*x + 8192
2189, 2, 512*x^2 - 825*x + 512
2229, 2, 2097152*x^2 - 3979577*x + 2097152
2245, 2, 64*x^4 + 31*x^3 + 130*x^2 + 31*x + 64
2253, 2, 32768*x^2 - 64785*x + 32768
2261, 2, 1024*x^4 + 440*x^3 + 1041*x^2 + 440*x + 1024
2301, 2, 68719476736*x^4 - 41971003520*x^3 + 25885552569*x^2 - 41971003520*x + 68719476736
2317, 2, 8*x^2 - 9*x + 8
2365, 2, 16384*x^4 - 12576*x^3 - 6391*x^2 - 12576*x + 16384
2373, 2, 4294967296*x^4 + 15850118016*x^3 + 23125660001*x^2 + 15850118016*x + 4294967296
2397, 2, 1073741824*x^4 - 1738016896*x^3 + 1440380769*x^2 - 1738016896*x + 1073741824
2413, 2, 32*x^2 + 63*x + 32
2429, 2, 512*x^6 + 156*x^5 + 1014*x^4 + 339*x^3 + 1014*x^2 + 156*x + 512
2445, 2, 1073741824*x^4 + 2886692864*x^3 + 3987396249*x^2 + 2886692864*x + 1073741824
2453, 2, 128*x^2 - 33*x + 128
2461, 2, 512*x^2 - 1001*x + 512
2469, 2, 512*x^2 - 201*x + 512
2485, 2, 16384*x^4 - 5920*x^3 + 2481*x^2 - 5920*x + 16384
2517, 2, 8589934592*x^2 - 6008415545*x + 8589934592
2533, 2, 4096*x^8 - 17680*x^7 + 42296*x^6 - 68425*x^5 + 79575*x^4 - 68425*x^3 + 42296*x^2 - 17680*x + 4096
2573, 2, 512*x^2 + 495*x + 512
2589, 2, 2199023255552*x^6 - 5098507699200*x^5 + 8171881753152*x^4 - 8655182894321*x^3 + 8171881753152*x^2 - 5098507699200*x + 2199023255552
2613, 2, 4194304*x^4 + 14826720*x^3 + 21386633*x^2 + 14826720*x + 4194304
2629, 2, 32768*x^2 + 3535*x + 32768
2653, 2, 8*x^2 - 9*x + 8
2661, 2, 536870912*x^2 - 1003703417*x + 536870912
2669, 2, 4096*x^8 - 12048*x^7 + 9292*x^6 + 10107*x^5 - 22737*x^4 + 10107*x^3 + 9292*x^2 - 12048*x + 4096
2685, 2, 1073741824*x^4 - 1687441536*x^3 + 1236610649*x^2 - 1687441536*x + 1073741824
2701, 2, 16384*x^4 + 60599*x^3 + 88791*x^2 + 60599*x + 16384
2717, 2, 1024*x^4 + 636*x^3 + 905*x^2 + 636*x + 1024
2733, 2, 2147483648*x^2 + 1858656415*x + 2147483648
2757, 2, 524288*x^2 + 981495*x + 524288
2765, 2, 1024*x^4 - 930*x^3 + 2021*x^2 - 930*x + 1024
2773, 2, 32768*x^2 + 47311*x + 32768
2805, 2, 274877906944*x^8 + 12636315648*x^7 + 171996557632*x^6 + 389564516286*x^5 + 107715037605*x^4 + 389564516286*x^3 + 171996557632*x^2 + 12636315648*x + 274877906944
2821, 2, 64*x^4 - 180*x^3 + 241*x^2 - 180*x + 64
2829, 2, 262144*x^4 + 862862*x^3 + 1220757*x^2 + 862862*x + 262144
2845, 2, 64*x^4 - 41*x^3 + 79*x^2 - 41*x + 64
2869, 2, 128*x^2 - 105*x + 128
2877, 2, 68719476736*x^4 - 266005983744*x^3 + 394646544641*x^2 - 266005983744*x + 68719476736
2893, 2, 8192*x^2 - 3497*x + 8192
2901, 2, 2048*x^2 - 3129*x + 2048
2933, 2, 512*x^2 + 999*x + 512
2949, 2, 134217728*x^2 + 184767847*x + 134217728
2973, 2, 131072*x^2 + 262095*x + 131072
2981, 2, 2048*x^6 + 4284*x^5 + 1302*x^4 - 1989*x^3 + 1302*x^2 + 4284*x + 2048
3005, 2, 1024*x^4 - 1305*x^3 + 967*x^2 - 1305*x + 1024
3013, 2, 32768*x^2 + 50407*x + 32768
3021, 2, 70368744177664*x^12 - 176949759574016*x^11 + 184435667013632*x^10 - 4142986738176*x^9 - 162408496897136*x^8 + 194742139149272*x^7 - 157222032089591*x^6 + 194742139149272*x^5 - 162408496897136*x^4 - 4142986738176*x^3 + 184435667013632*x^2 - 176949759574016*x + 70368744177664
3045, 2, 68719476736*x^8 - 431702949888*x^7 + 1277155577408*x^6 - 2313853940916*x^5 + 2799539898945*x^4 - 2313853940916*x^3 + 1277155577408*x^2 - 431702949888*x + 68719476736
3053, 2, 128*x^2 - 185*x + 128
3093, 2, 34359738368*x^2 - 1559063465*x + 34359738368
3101, 2, 32*x^2 - 57*x + 32
3117, 2, 8388608*x^2 - 14482065*x + 8388608
3149, 2, 32*x^2 - 17*x + 32
3157, 2, 16384*x^4 + 4464*x^3 - 11071*x^2 + 4464*x + 16384
3165, 2, 68719476736*x^4 - 179189441024*x^3 + 223267508601*x^2 - 179189441024*x + 68719476736
3173, 2, 2048*x^6 - 3300*x^5 + 2550*x^4 - 2429*x^3 + 2550*x^2 - 3300*x + 2048
3189, 2, 524288*x^2 + 738327*x + 524288
3197, 2, 512*x^2 - 1001*x + 512
3205, 2, 1024*x^4 + 3775*x^3 + 5527*x^2 + 3775*x + 1024
